Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Nebraska;2009;1796619;5199;289,4;41;2,3;617;34,3;1220;67,9;3321;184,8;49731;2768,0;8726;485,7;37496;2087,0;3509;195,3;
Nebraska;2010;1826341;5104;279,5;54;3,0;672;36,8;1025;56,1;3353;183,6;48821;2673,2;8326;455,9;36881;2019,4;3614;197,9;
Nebraska;2011;1842234;4672;253,6;68;3,7;699;37,9;993;53,9;2912;158,1;50894;2762,6;8725;473,6;38060;2066,0;4109;223,0;
Nebraska;2012;1855525;4814;259,4;53;2,9;711;38,3;1130;60,9;2920;157,4;51118;2754,9;8735;470,8;38236;2060,7;4147;223,5;
Nebraska;2013;1868969;4949;264,8;56;3,0;621;33,2;1035;55,4;3011;161,1;49197;2632,3;8945;478,6;35791;1915,0;4461;238,7;
Nebraska;2014;1881503;5275;280,4;54;2,9;620;33,0;1043;55,4;3316;176,2;47479;2523,5;7950;422,5;35074;1864,1;4455;236,8;
Nebraska;2015;1896190;5212;274,9;62;3,3;652;34,4;994;52,4;3283;173,1;42495;2241,1;6422;338,7;32072;1691,4;4001;211,0;
North Dakota;2009;646844;1723;266,4;12;1,9;296;45,8;107;16,5;1308;202,2;12813;1980,8;2426;375,1;9474;1464,6;913;141,1;
North Dakota;2010;672591;1513;225,0;10;1,5;237;35,2;90;13,4;1176;174,8;11895;1768,5;1966;292,3;9070;1348,5;859;127,7;
North Dakota;2011;684740;1699;248,1;24;3,5;266;38,8;91;13,3;1318;192,5;13334;1947,3;2458;359,0;9891;1444,5;985;143,9;
North Dakota;2012;699628;1712;244,7;28;4,0;272;38,9;131;18,7;1281;183,1;14063;2010,1;2377;339,8;10535;1505,8;1151;164,5;
North Dakota;2013;723857;1979;273,4;16;2,2;288;39,8;161;22,2;1447;199,9;15356;2121,4;2979;411,5;10942;1511,6;1435;198,2;
North Dakota;2014;739482;1960;265,1;22;3,0;276;37,3;173;23,4;1407;190,3;15605;2110,3;2707;366,1;11384;1539,5;1514;204,7;
North Dakota;2015;756927;1812;239,4;21;2,8;276;36,5;148;19,6;1298;171,5;16020;2116,5;2997;395,9;11440;1511,4;1583;209,1;
South Dakota;2009;812383;1777;218,7;30;3,7;501;61,7;117;14,4;1129;139,0;14378;1769,9;2621;322,6;10891;1340,6;866;106,6;
South Dakota;2010;814180;2186;268,5;23;2,8;390;47,9;154;18,9;1619;198,9;15082;1852,4;3181;390,7;11106;1364,1;795;97,6;
South Dakota;2011;823593;2105;255,6;20;2,4;503;61,1;167;20,3;1415;171,8;15299;1857,6;2927;355,4;11423;1387,0;949;115,2;
South Dakota;2012;833354;2682;321,8;25;3,0;585;70,2;158;19,0;1914;229,7;17168;2060,1;3258;391,0;12845;1541,4;1065;127,8;
South Dakota;2013;845510;2733;323,2;18;2,1;454;53,7;156;18,5;2052;242,7;16274;1924,8;3383;400,1;11955;1413,9;936;110,7;
South Dakota;2014;853175;2786;326,5;20;2,3;413;48,4;200;23,4;2096;245,7;15902;1863,9;2818;330,3;12077;1415,5;1007;118,0;
South Dakota;2015;858469;3289;383,1;32;3,7;441;51,4;216;25,2;2546;296,6;16680;1943,0;2960;344,8;12532;1459,8;1188;138,4;
Delaware;2009;885122;5713;645,4;41;4,6;395;44,6;1680;189,8;3597;406,4;29685;3353,8;6943;784,4;20836;2354,0;1906;215,3;
Delaware;2010;897934;5575;620,9;48;5,3;312;34,7;1829;203,7;3386;377,1;30963;3448,2;7515;836,9;21519;2396,5;1929;214,8;
Delaware;2011;908137;5144;566,4;48;5,3;307;33,8;1558;171,6;3231;355,8;31163;3431,5;7617;838,8;22001;2422,7;1545;170,1;
Delaware;2012;917092;5020;547,4;57;6,2;243;26,5;1492;162,7;3228;352,0;30639;3340,9;7371;803,7;21832;2380,6;1436;156,6;
Delaware;2013;925240;4633;500,7;41;4,4;278;30,0;1233;133,3;2960;319,9;29001;3134,4;6299;680,8;21347;2307,2;1355;146,4;
Delaware;2014;935614;4576;489,1;54;5,8;249;26,6;1269;135,6;2867;306,4;27900;2982,0;5768;616,5;20865;2230,1;1267;135,4;
Delaware;2015;945934;4720;499,0;63;6,7;243;25,7;1235;130,6;3081;325,7;25455;2691,0;4773;504,6;19501;2061,6;1181;124,9;
District of Columbia;2009;599657;8089;1348,9;145;24,2;150;25,0;4404;734,4;3390;565,3;28495;4751,9;3696;616,4;19267;3213,0;5532;922,5;
District of Columbia;2010;601723;8004;1330,2;132;21,9;187;31,1;4325;718,8;3360;558,4;28756;4778,9;4231;703,1;19489;3238,9;5036;836,9;
District of Columbia;2011;619020;7433;1200,8;108;17,4;173;27,9;4094;661,4;3058;494,0;29654;4790,5;3850;622,0;21347;3448,5;4457;720,0;
District of Columbia;2012;632323;7864;1243,7;88;13,9;236;37,3;4036;638,3;3504;554,1;30736;4860,8;3519;556,5;23556;3725,3;3661;579,0;
District of Columbia;2013;649111;8415;1296,4;103;15,9;297;45,8;4082;628,9;3835;590,8;31097;4790,7;3316;510,9;24547;3781,6;3234;498,2;
District of Columbia;2014;658893;8199;1244,4;105;15,9;352;53,4;3497;530,7;4125;626,1;34147;5182,5;3466;526,0;26898;4082,3;3783;574,1;
District of Columbia;2015;672228;8531;1269,1;162;24,1;366;54,4;3742;556,7;4133;614,8;31435;4676,2;2971;442,0;25200;3748,7;3264;485,5;
Florida;2009;18537969;113541;612,5;1017;5,5;5501;29,7;30911;166,7;76112;410,6;712010;3840,8;181884;981,1;479867;2588,6;50259;271,1;
Florida;2010;18801310;101969;542,4;987;5,2;5373;28,6;26086;138,7;69523;369,8;669035;3558,4;169119;899,5;458454;2438,4;41462;220,5;
Florida;2011;19082262;98198;514,6;984;5,2;5273;27,6;25622;134,3;66319;347,5;671200;3517,4;170171;891,8;461408;2418,0;39621;207,6;
Florida;2012;19317568;94087;487,1;1009;5,2;5260;27,2;23889;123,7;63929;330,9;632988;3276,7;153563;794,9;442095;2288,6;37330;193,2;
Florida;2013;19600311;91993;469,3;972;5,0;4765;24,3;23200;118,4;61054;311,5;607170;3097,8;138915;708,7;433344;2210,9;34911;178,1;
Florida;2014;19893297;107521;540,5;1149;5,8;6051;30,4;24914;125,2;72895;366,4;679446;3415,5;143220;719,9;493647;2481,5;42579;214,0;
Florida;2015;20271272;93626;461,9;1041;5,1;5430;26,8;21137;104,3;63895;315,2;570270;2813,2;109268;539,0;420341;2073,6;40661;200,6;
Georgia;2009;9829211;42073;428,0;566;5,8;2323;23,6;14631;148,9;24553;249,8;360985;3672,6;98606;1003,2;229216;2332,0;33163;337,4;
Georgia;2010;9687653;39072;403,3;558;5,8;2093;21,6;12373;127,7;24048;248,2;352679;3640,5;96723;998,4;225651;2329,3;30305;312,8;
Georgia;2011;9812460;36762;374,6;549;5,6;2066;21,1;12266;125,0;21881;223,0;357235;3640,6;96014;978,5;231543;2359,7;29678;302,5;
Georgia;2012;9919945;37591;378,9;581;5,9;2124;21,4;12463;125,6;22423;226,0;338329;3410,6;86789;874,9;223004;2248,0;28536;287,7;
